gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
ENSG00000164128,NPY1R,22.387591560304394,-0.5242890704661136,0.08030616306993132,-6.909568909690735,4.861286876804132e-12,1.053926994891136e-08,True
ENSG00000145423,SFRP2,9.954843133076547,-1.091121796868932,0.17061491886783037,-6.78630658575268,1.1504055159508668e-11,1.2470395792907397e-08,True
ENSG00000116133,DHCR24,14.864566609046024,-0.609263389332388,0.0998757463182738,-6.507919422056924,7.619876923858153e-11,4.129973292731119e-08,True
ENSG00000113083,LOX,11.262107832691367,-0.5990485232473334,0.09748330806809315,-6.547160563578244,5.86413068808276e-11,4.129973292731119e-08,True
ENSG00000174697,LEP,91.84689987134732,-0.31050705898077724,0.05251922150919399,-6.323009620935584,2.565173231403082e-10,1.1122591131363763e-07,True
ENSG00000137713,PPP2R1B,22.85383553956096,-0.5284751373628118,0.09155311216719032,-6.201377234061971,5.597117233436691e-10,1.7390438970749393e-07,True
ENSG00000075223,SEMA3C,18.63774039956994,-0.5354336918823175,0.09276717454426021,-6.200875440619599,5.614994132622036e-10,1.7390438970749393e-07,True
ENSG00000109107,ALDOC,18.44370275561123,-0.7459983942681955,0.13415103539016773,-6.007956435610008,1.8787630411971687e-09,4.5257314147949576e-07,True
ENSG00000104763,ASAH1,64.10800303899624,-0.3080702848510232,0.055283498793850486,-6.008024450819708,1.877975251430727e-09,4.5257314147949576e-07,True
ENSG00000101825,MXRA5,14.137368301406072,-0.8992410163579779,0.16324510813175838,-5.960979422204229,2.507305436823614e-09,5.435838187033596e-07,True
ENSG00000119927,GPAM,70.8332664361841,-0.5507132613638149,0.10030310227635844,-5.939482938672588,2.859224297124869e-09,5.63527116015156e-07,True
ENSG00000122176,FMOD,43.717546322830096,-0.47529987879071806,0.09049306235701811,-5.720355074631489,1.0630166667274798e-08,1.9205167778876468e-06,True
ENSG00000151365,THRSP,29.979058798459278,-0.34878865727638564,0.06769633152974286,-5.625448307935987,1.850268090798885e-08,3.085677862193833e-06,True
ENSG00000113389,NPR3,16.34157886760405,-0.45298912322530793,0.08840708382023844,-5.603578391609127,2.0997108628840556e-08,3.251552250523309e-06,True
ENSG00000000971,CFH,19.60309134323323,-0.5014763770489974,0.1001221865937468,-5.500144473699654,3.79480183506934e-08,5.48475358562022e-06,True
ENSG00000181019,NQO1,29.933455413739186,-0.40947027703518807,0.08291636558268661,-5.433792852061322,5.5168622448850555e-08,7.47534834181925e-06,True
ENSG00000169764,UGP2,38.57048882679778,-0.2925610849954431,0.06001159464834974,-5.367495596558523,7.983745687763409e-08,1.0181623912394748e-05,True
ENSG00000198848,CES1,68.26501019836951,-0.4322010224963053,0.090708423832064,-5.276855384243543,1.314195153161965e-07,1.5828750511417446e-05,True
ENSG00000093144,ECHDC1,14.069260902857026,-0.41117282541731837,0.08729522837719111,-5.227720397254592,1.7161276995176987e-07,1.958192027660195e-05,True
ENSG00000155368,DBI,20.56974463047005,-0.3419853079026437,0.07343478059215568,-5.178089127551984,2.2417013657276555e-07,2.4300042804487786e-05,True
ENSG00000187134,AKR1C1,40.877009330084874,-0.27878085411078624,0.06048851631216456,-5.129362695528785,2.907247291493879e-07,3.0013867275993953e-05,True
ENSG00000143248,RGS5,44.127455847881514,-0.3060794534576829,0.06679687363084925,-5.108179164230451,3.252781480731025e-07,3.2054682955567555e-05,True
ENSG00000116005,PCYOX1,30.95636873554839,-0.27249514433869726,0.06038371695925933,-5.0432258619993355,4.577483973723827e-07,4.314776197840547e-05,True
ENSG00000135486,HNRNPA1,36.81005543584381,0.24000924283922806,0.05313172726949122,5.027843810858635,4.960256230304003e-07,4.4807647947079495e-05,True
ENSG00000134817,APLNR,10.43226469961482,-0.4580901562516136,0.10262297500627168,-5.010479622597128,5.429454754882407e-07,4.7084231634340234e-05,True
ENSG00000196549,MME,25.604244847541214,-0.389651662212933,0.08767767713489817,-4.991500245299643,5.991210678329763e-07,4.995747981007279e-05,True
ENSG00000162733,DDR2,45.54809644241799,-0.2930058839188215,0.06595803488486543,-4.982787120728011,6.267489122295218e-07,5.0325616359763084e-05,True
ENSG00000204262,COL5A2,30.956926882794196,-0.2649993805843541,0.06096279966642321,-4.895515527566303,9.804834918581404e-07,7.591743608387317e-05,True
ENSG00000147883,CDKN2B,13.284686266153095,-0.4456681785287584,0.10342468954972901,-4.875198036125056,1.0869935255082338e-06,8.126213666558107e-05,True
ENSG00000065833,ME1,10.227905294151299,-0.4398235306143495,0.10323292639811968,-4.83146383171481,1.3553284234552114e-06,9.794506740169661e-05,True
ENSG00000067113,PLPP1,25.88774039956994,-0.27648423915069525,0.06508709072865355,-4.811054216309231,1.5013628067782447e-06,0.0001049985343579108,True
ENSG00000115461,IGFBP5,83.78807235944427,-0.20896535506600847,0.04995356233533055,-4.740358683039855,2.1334020793263557e-06,0.0001445379908743606,True
ENSG00000101955,SRPX,12.09221143448262,0.3940864877954714,0.09514746362171361,4.700626402966933,2.593646489216422e-06,0.00017039471480670312,True
ENSG00000196139,AKR1C3,32.854207637724826,-0.34605947632126,0.08431465291842893,-4.6919499310928305,2.7061336348575053e-06,0.0001725558153050315,True
ENSG00000115904,SOS1,13.762331091589687,-0.36002064619961854,0.08835912028763779,-4.666340146012844,3.0661197550966375e-06,0.00018992421797284315,True
ENSG00000113140,SPARC,150.07807962934064,-0.11284276850261171,0.02720532164931525,-4.647470029935053,3.3603089605283297e-06,0.00019689594125474105,True
