gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
ENSG00000164128,NPY1R,22.387591560304394,-0.5242890449453804,0.08030616434797903,-6.909568909793358,4.861286873287625e-12,1.0539269941287571e-08,True
ENSG00000145423,SFRP2,9.954843133076547,-1.0911218167297625,0.1706149196199339,-6.786306585970647,1.1504055142137064e-11,1.2470395774076577e-08,True
ENSG00000116133,DHCR24,14.864566609046024,-0.6092633772945324,0.0998757477533625,-6.507919422224967,7.619876915336599e-11,4.129973288112437e-08,True
ENSG00000113083,LOX,11.262107832691367,-0.5990485137321074,0.09748330951226185,-6.547160563506695,5.864130690891142e-11,4.129973288112437e-08,True
ENSG00000174697,LEP,91.84689987134732,-0.3105070379280373,0.052519224257501745,-6.323009620974254,2.565173230760889e-10,1.1122591128579215e-07,True
ENSG00000137713,PPP2R1B,22.85383553956096,-0.5284751238092972,0.09155311405259246,-6.201377234205449,5.597117228333101e-10,1.7390438955242888e-07,True
ENSG00000075223,SEMA3C,18.63774039956994,-0.5354336779196167,0.0927671764065549,-6.2008754407599165,5.614994127615324e-10,1.7390438955242888e-07,True
ENSG00000109107,ALDOC,18.44370275561123,-0.7459983851760528,0.13415103690088478,-6.007956435798533,1.8787630390131187e-09,4.5257314095338237e-07,True
ENSG00000104763,ASAH1,64.10800303899624,-0.308070260893212,0.05528350214382584,-6.0080244508530605,1.8779752510444974e-09,4.5257314095338237e-07,True
ENSG00000101825,MXRA5,14.137368301406072,-0.8992410077103199,0.16324510944007561,-5.960979422204208,2.507305436823944e-09,5.435838187034311e-07,True
ENSG00000119927,GPAM,70.8332664361841,-0.5507132472464268,0.10030310430043407,-5.939482938794485,2.8592242949990332e-09,5.635271155961731e-07,True
ENSG00000122176,FMOD,43.717546322830096,-0.4752998606391711,0.09049306506174909,-5.720355074751298,1.0630166659778627e-08,1.9205167765333385e-06,True
ENSG00000151365,THRSP,29.979058798459278,-0.34878863225285567,0.06769633544128166,-5.625448307956781,1.8502680905759833e-08,3.0856778618221014e-06,True
ENSG00000113389,NPR3,16.34157886760405,-0.4529891041117141,0.08840708701407542,-5.603578391679591,2.099710862030044e-08,3.251552249200811e-06,True
ENSG00000000971,CFH,19.60309134323323,-0.5014763580396243,0.10012218965904904,-5.500144473830231,3.794801832259023e-08,5.484753581558375e-06,True
ENSG00000181019,NQO1,29.933455413739186,-0.4094702536122827,0.08291636939942115,-5.433792852164877,5.5168622416817655e-08,7.475348337478792e-06,True
ENSG00000169764,UGP2,38.57048882679778,-0.29256105255473464,0.060011600006645176,-5.367495596545845,7.983745688324469e-08,1.0181623913110264e-05,True
ENSG00000198848,CES1,68.26501019836951,-0.43220099844347537,0.09070842778342288,-5.276855384346766,1.3141951524220037e-07,1.5828750502505023e-05,True
ENSG00000093144,ECHDC1,14.069260902857026,-0.4111728443872912,0.0872952328649306,-5.227720397185481,1.7161277001589931e-07,1.9581920283919458e-05,True
ENSG00000155368,DBI,20.56974463047005,-0.3419852769260216,0.07343478609772212,-5.1780891274575644,2.241701366861932e-07,2.4300042816783343e-05,True
ENSG00000187134,AKR1C1,40.877009330084874,-0.2787808154796656,0.06048852292928915,-5.129362695540703,2.907247291309842e-07,3.001386727409399e-05,True
ENSG00000143248,RGS5,44.127455847881514,-0.30607941730945654,0.06679687981661903,-5.10817916429069,3.252781479694245e-07,3.205468294535056e-05,True
ENSG00000116005,PCYOX1,30.95636873554839,-0.27249510298400187,0.060383724247497536,-5.043225861875083,4.5774839766975164e-07,4.314776200643572e-05,True
ENSG00000135486,HNRNPA1,36.81005543584381,0.24000919611080576,0.05313173413914857,5.027843810767973,4.960256232648544e-07,4.480764796825851e-05,True
ENSG00000134817,APLNR,10.43226469961482,-0.4580901297409684,0.10262297993273492,-5.010479622553021,5.42945475612688e-07,4.70842316451323e-05,True
ENSG00000196549,MME,25.604244847541214,-0.38965163170975836,0.08767768268785014,-4.991500245403969,5.991210675093148e-07,4.99574797830844e-05,True
ENSG00000162733,DDR2,45.54809644241799,-0.29300584376166766,0.06595804194808344,-4.9827871207837395,6.267489120489489e-07,5.032561634526374e-05,True
ENSG00000204262,COL5A2,30.956926882794196,-0.26499933478211335,0.06096280802928793,-4.8955155274506295,9.804834924349182e-07,7.591743612853224e-05,True
ENSG00000147883,CDKN2B,13.284686266153095,-0.4456681488538013,0.103424695097202,-4.875198036248129,1.0869935248305219e-06,8.126213661491626e-05,True
ENSG00000065833,ME1,10.227905294151299,-0.43982350194672315,0.10323293224736861,-4.831463831667828,1.355328423775097e-06,9.794506742481368e-05,True
ENSG00000067113,PLPP1,25.88774039956994,-0.27648419310718797,0.06508709944578478,-4.811054216205286,1.5013628075591574e-06,0.0001049985344125243,True
ENSG00000115461,IGFBP5,83.78807235944427,-0.20896529366722055,0.049953573335923485,-4.740358683050888,2.133402079210177e-06,0.0001445379908664895,True
ENSG00000101955,SRPX,12.09221143448262,0.3940864521069537,0.0951474691201687,4.700626402920549,2.593646489805605e-06,0.00017039471484541066,True
ENSG00000196139,AKR1C3,32.854207637724826,-0.3460594355608001,0.08431466077449513,-4.691949931185012,2.706133633637902e-06,0.00017255581522726386,True
ENSG00000115904,SOS1,13.762331091589687,-0.3600206044657268,0.0883591283594506,-4.666340145953738,3.066119755978201e-06,0.0001899242180274497,True
ENSG00000113140,SPARC,150.07807962934064,-0.11284267347669498,0.027205336732078894,-4.647470029723802,3.3603089639684884e-06,0.00019689594145631576,True
ENSG00000134962,KLB,11.784760685785868,-0.3901769719342421,0.09623465091058288,-4.651434689251254,3.2963367348772468e-06,0.00019689594145631576,True
ENSG00000120885,CLU,87.24525971095316,-0.17798075703882338,0.04377423193591184,-4.628112771842499,3.690130686898476e-06,0.00021053166655778674,True
ENSG00000145675,PIK3R1,15.762256671956912,-0.35059677956874497,0.08761997403957204,-4.60401680280885,4.14419005104417e-06,0.0002303744623247118,True
ENSG00000163520,FBLN2,59.20774549875469,-0.2016642912528716,0.05109673376453775,-4.533248610132067,5.808338404538036e-06,0.0003148119415259616,True
ENSG00000167526,RPL13,59.98117975799332,0.16995441412494514,0.04326270537234354,4.493017163988953,7.02211225568973e-06,0.0003713155943984228,True
ENSG00000137154,RPS6,65.58460598957403,0.15645799473411415,0.04030685305692844,4.447952932905519,8.669251915443749e-06,0.00044749852744481065,True
ENSG00000148053,NTRK2,29.706108266833688,-0.2439143964992052,0.06384098951899922,-4.437208484468173,9.113301773241105e-06,0.00045947995917178404,True
ENSG00000119280,C1orf198,17.02362030832055,-0.33487988716203204,0.08978078504271228,-4.377581157856124,1.2000368166824906e-05,0.0005781510707928088,True
ENSG00000204389,HSPA1A,15.592248644299007,0.3105247283006546,0.08236633459493503,4.381148964035154,1.1805512216404814e-05,0.0005781510707928088,True
ENSG00000138413,IDH1,22.888112497733804,-0.2558601145238313,0.06942924244396935,-4.326359780935431,1.5159374408528424e-05,0.0007144679069062961,True
ENSG00000138356,AOX1,10.102830874518524,-0.3815161761360383,0.10454894315198554,-4.314762665733382,1.597744607386889e-05,0.0007370021933648458,True
ENSG00000135535,CD164,49.36802712196997,-0.20078558291271087,0.05470478872848369,-4.296005357703033,1.7390338094873964e-05,0.0007854636039518073,True
ENSG00000089280,FUS,20.479207637724826,0.2658421540863338,0.07268802368611305,4.28483785160343,1.828725140025587e-05,0.0008091175721582598,True
ENSG00000177954,RPS27,40.264266002041786,0.18768266830975353,0.05158828008570138,4.254420506052771,2.0959110131170304e-05,0.0009087870152875443,True
ENSG00000211445,GPX3,78.83441994049208,0.26912021359929805,0.07479483220416962,4.2456165283393865,2.179931793249271e-05,0.0009266847309341999,True
ENSG00000132386,SERPINF1,64.0723865274335,-0.14756647754778632,0.04122913704711438,-4.199112131135868,2.6796360845062624e-05,0.0011172021213864572,True
ENSG00000162337,LRP5,18.44437253230619,0.2752787847073913,0.07839637110589225,4.164890555786842,3.1150195756561675e-05,0.0012236732821775636,True
ENSG00000229117,RPL41,65.14120091249389,0.14459160862932824,0.04060710568084584,4.167215980407613,3.083423259506886e-05,0.0012236732821775636,True
ENSG00000153956,CACNA2D1,13.524104035933574,-0.4205345449887107,0.12126485904111857,-4.161562134450059,3.1607796956616034e-05,0.0012236732821775636,True
ENSG00000147403,RPL10,76.68762291317448,0.13372534402303943,0.0373589818223921,4.172532063467423,3.012331921915556e-05,0.0012236732821775636,True
ENSG00000082438,COBLL1,17.614603818862413,-0.2761048451018003,0.07956121027990498,-4.151131637901755,3.3083540351088975e-05,0.0012583353593186124,True
ENSG00000133112,TPT1,113.13400477556553,0.10977137987617185,0.030649009031805924,4.145733051251223,3.3872827834379704e-05,0.001266142943878193,True
ENSG00000177098,SCN4B,11.136884573793047,-0.33811495607552067,0.09924724989268258,-4.1055408596620495,4.03369973446415e-05,0.0014822137329353012,True
ENSG00000161533,ACOX1,16.171310371231435,-0.27988230841397393,0.08236436158622254,-4.092753870615195,4.2628012912016616e-05,0.0015150415080860988,True
ENSG00000117682,DHDDS,16.978277392315164,-0.27205983264714084,0.07986111829819695,-4.093755848834179,4.244412462160289e-05,0.0015150415080860988,True
ENSG00000196230,TUBB,43.072014429269636,0.17257169997100738,0.050140462370398105,4.08692679926308,4.3712496292635844e-05,0.0015285272897166858,True
ENSG00000169710,FASN,73.99228292564224,-0.2805232404575621,0.08417177455810967,-4.038617277449669,5.3767209494119564e-05,0.0018502747648135112,True
ENSG00000135677,GNS,40.90174593289702,-0.19227769530308128,0.05728899757892062,-4.03322156253871,5.501736105626408e-05,0.0018637131057809458,True
ENSG00000110092,CCND1,24.8428067915448,-0.26841849538376117,0.08122579063336326,-4.015661598119264,5.927926374426528e-05,0.0019771914430394945,True
ENSG00000265972,TXNIP,113.98493794944835,0.11149825867401113,0.03266777580977856,4.007098447424359,6.146924587590925e-05,0.002014771727538424,True
ENSG00000064042,LIMCH1,17.94422369304064,-0.2932678289295559,0.08956877852288779,-4.004059761541729,6.226462442115978e-05,0.002014771727538424,True
ENSG00000091986,CCDC80,68.74325038086829,-0.20421603885997447,0.061818367383679386,-3.99754139821097,6.400379996352487e-05,0.002040591740013558,True
ENSG00000100316,RPL3,84.04056541714216,0.12042220241000721,0.035662168490354286,3.9832897255766215,6.7967810668179e-05,0.0021355683120088706,True
ENSG00000134013,LOXL2,13.466727706869593,-0.28954473253901913,0.09028712965962961,-3.9410333309305625,8.113135058189546e-05,0.002512753829450705,True
ENSG00000000005,TNMD,10.92093827306757,-0.3882255718208476,0.12195717524264696,-3.9319475459335855,8.426045365255553e-05,0.0025729107537850755,True
ENSG00000123416,TUBA1B,39.67495693323731,0.20017166049931537,0.062422852736516474,3.907642911041406,9.320091510996468e-05,0.002806383110533381,True
ENSG00000115419,GLS,11.296347581047822,-0.31072708936707016,0.09924259185083452,-3.88734893049482,0.00010134502140969197,0.0030098083070714,True
ENSG00000113296,THBS4,14.761735734527502,-0.553794684644939,0.1788350236374425,-3.87216657338674,0.00010787218717640338,0.003160363537816791,True
