num_genes,accuracy,auc,var_smoothing
10,0.7407407407407407,0.7747252747252746,1e-10
100,0.8148148148148148,0.9065934065934066,1e-10
1000,0.7777777777777778,0.8104395604395606,1e-10
5000,0.8888888888888888,0.8873626373626373,1e-10
10000,0.8888888888888888,0.9313186813186812,1e-10
